Season,Player,Salary,times_injured,WS,Pos,OWS,DWS,Age,FG,FGA,X3P,X3PA,X2P,X2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022,Jeff Green,4500000,12,3.9,PF,2.7,1.2,35,3.7,7.1,0.7,2.2,3,4.8,2.2,2.6,0.5,2.5,3.1,1.3,0.4,0.4,0.9,2,10.3
2022,Jerami Grant,20955000,14,2.3,PF,1.2,1.1,27,6.3,14.9,1.9,5.4,4.4,9.5,4.6,5.5,0.6,3.5,4.1,2.4,0.9,1,1.8,2.3,19.2
2022,Jevon Carter,6025000,2,1.2,PG,0.5,0.7,26,1.5,3.8,1,2.6,0.5,1.3,0.2,0.3,0.2,1.5,1.7,1.5,0.4,0.2,0.5,1,4.2
2022,Jimmy Butler,37653300,40,9.2,SF,6.2,2.9,32,7,14.5,0.5,2,6.5,12.5,6.9,8,1.8,4.1,5.9,5.5,1.6,0.5,2.1,1.5,21.4
2022,Joe Harris,18642857,24,0.5,SF,0.3,0.2,30,4,8.9,2.9,6.3,1.1,2.6,0.4,0.4,0.4,3.6,4,1,0.5,0.1,1.1,2.2,11.3
2022,Joe Ingles,6479000,2,2.2,SF,1.3,0.9,34,2.6,6.3,1.7,5,0.8,1.3,0.4,0.5,0.3,2.6,2.9,3.5,0.5,0.1,1,1.8,7.2
2022,Joel Embiid,33616770,57,12,C,7.9,4.1,27,9.8,19.6,1.4,3.7,8.4,15.9,9.6,11.8,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6
2022,John Collins,23500000,7,5.1,PF,3.6,1.4,24,6.3,11.9,1.2,3.3,5.1,8.7,2.5,3.1,1.7,6.1,7.8,1.8,0.6,1,1.1,3,16.2
2023,John Wall,47345760,31,0.5,PG,0,0.5,32,4.5,10.5,0.8,3.5,3.6,7,1.8,3.2,0.3,2.3,2.6,5.7,1.2,0.2,1.9,1.8,11.6
2022,Jordan Clarkson,13340000,4,3.5,SG,1.5,2,29,5.9,14.1,2.4,7.6,3.5,6.5,1.8,2.2,0.8,2.6,3.5,2.5,0.8,0.2,1.6,1.9,16
2022,Jordan Poole,3901399,2,6,SG,3.1,2.9,22,6.2,13.9,2.8,7.6,3.5,6.3,3.2,3.5,0.4,3,3.4,4,0.8,0.3,2.5,2.7,18.5
2022,Josh Hart,12960000,11,4.4,SG,2.8,1.5,26,5.3,10.5,1.4,3.9,4,6.6,3,3.9,1.1,6,7.2,4.1,1.1,0.2,2.1,2.8,14.9
2022,Josh Okogie,1836090,2,0.7,SG,0.1,0.5,23,0.9,2.1,0.3,1,0.6,1.2,0.7,1,0.6,0.8,1.4,0.5,0.5,0.2,0.5,1.1,2.7
2022,Josh Richardson,12196094,17,3.5,SG,1.6,2,28,3.6,8.2,1.6,3.8,2,4.4,1.5,1.7,0.6,2.2,2.8,1.8,0.9,0.4,1,1.8,10.2
2022,Jrue Holiday,33665040,42,6.9,PG,4.5,2.4,31,7.1,14.2,2,4.8,5.2,9.4,2,2.7,1,3.5,4.5,6.8,1.6,0.4,2.7,2,18.3
2022,Julius Randle,23760000,14,3.1,PF,-0.3,3.4,27,7.1,17.3,1.7,5.4,5.4,11.9,4.2,5.6,1.7,8.2,9.9,5.1,0.7,0.5,3.4,2.8,20.1
2022,Justin Holiday,6292440,6,1.4,SF-SG,0.8,0.6,32,3.5,8.9,2.4,6.5,1.1,2.4,0.7,0.8,0.4,2.2,2.6,1.7,0.8,0.4,0.9,2.1,10.1
2022,Justin Jackson,1836090,1,0,SF,0,0,26,0.7,2.1,0.4,1.3,0.3,0.9,0.3,0.3,0.1,0.9,1,0.3,0,0,0.1,0.4,2.1
